"Submit_ID","Brand_Reg","Model_No","Country","screensize","Screen_Tech","Avg_mode_power","Availability Status","Star2","Screen_Size_Inches","Screen_Size_Category_Num"
152472,"SAMSUNG ELECTRONICS","UA85CU8*00*","Vietnam",214.783,"LCD (LED)",198,"Available",5,84.5600671,"85"
152483,"SAMSUNG ELECTRONICS","QA55S95CAW","Vietnam",138.783,"LCD (LED)",113,"Available",4,54.63886709999999,"55"
152483,"SAMSUNG ELECTRONICS","QA55S95CAS","Vietnam",138.783,"LCD (LED)",113,"Available",4,54.63886709999999,"55"
152483,"SAMSUNG ELECTRONICS","QA55S95CA*","Vietnam",138.783,"LCD (LED)",113,"Available",4,54.63886709999999,"55"
152484,"SAMSUNG ELECTRONICS","QA65S95CAW","Vietnam",163.897,"LCD (LED)",155,"Available",4,64.5262489,"65"
152484,"SAMSUNG ELECTRONICS","QA65S95CAS","Vietnam",163.897,"LCD (LED)",155,"Available",4,64.5262489,"65"
152484,"SAMSUNG ELECTRONICS","QA65S95CA*","Vietnam",163.897,"LCD (LED)",155,"Available",4,64.5262489,"65"
152485,"SAMSUNG ELECTRONICS","QA77S95CAW","Vietnam",195.177,"LCD (LED)",220,"Available",4,76.8411849,"75"
152485,"SAMSUNG ELECTRONICS","QA77S95CAS","Vietnam",195.177,"LCD (LED)",220,"Available",4,76.8411849,"75"
152485,"SAMSUNG ELECTRONICS","QA77S95CA*","Vietnam",195.177,"LCD (LED)",220,"Available",4,76.8411849,"75"
